2025-11-05 14:23:36,528 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:23:36,529 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:23:36,529 |     INFO | main.py:99 | 📑 Document Type: Receipt
2025-11-05 14:23:36,529 |     INFO | main.py:111 | ✅ Extraction successful for receipts_07.png (category: receipts_invoices)
2025-11-05 14:23:36,530 |     INFO | main.py:75 | 🔍 Processing: receipts_09.png (category: receipts_invoices)
2025-11-05 14:23:36,830 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:23:37,120 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:23:37,121 |     INFO | main.py:83 | 📄 Extracted Fields for receipts_09.png: {}
2025-11-05 14:23:37,121 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:23:37,121 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:23:37,122 |     INFO | main.py:99 | 📑 Document Type: Receipt
2025-11-05 14:23:37,122 |     INFO | main.py:111 | ✅ Extraction successful for receipts_09.png (category: receipts_invoices)
2025-11-05 14:23:37,122 |     INFO | main.py:75 | 🔍 Processing: receipt_01.png (category: receipts_invoices)
2025-11-05 14:23:37,462 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:23:37,796 |     INFO | text_extraction.py:70 | Tesseract extraction successful
2025-11-05 14:23:37,809 |     INFO | main.py:83 | 📄 Extracted Fields for receipt_01.png: {}
2025-11-05 14:23:37,810 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:23:37,810 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:23:37,811 |     INFO | main.py:99 | 📑 Document Type: Receipt
2025-11-05 14:23:37,812 |     INFO | main.py:111 | ✅ Extraction successful for receipt_01.png (category: receipts_invoices)
2025-11-05 14:23:37,812 |     INFO | main.py:75 | 🔍 Processing: receipt_02.png (category: receipts_invoices)
2025-11-05 14:23:38,271 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:23:38,566 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:23:38,567 |     INFO | main.py:83 | 📄 Extracted Fields for receipt_02.png: {}
2025-11-05 14:23:38,567 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:23:38,568 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:23:38,568 |     INFO | main.py:99 | 📑 Document Type: Receipt
2025-11-05 14:23:38,568 |     INFO | main.py:111 | ✅ Extraction successful for receipt_02.png (category: receipts_invoices)
2025-11-05 14:23:38,569 |     INFO | main.py:75 | 🔍 Processing: placeholder_1.jpg (category: screenshots)
2025-11-05 14:23:40,927 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:23:41,224 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:23:41,225 |     INFO | main.py:83 | 📄 Extracted Fields for placeholder_1.jpg: {}
2025-11-05 14:23:41,226 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:23:41,226 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:23:41,227 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:23:41,227 |     INFO | main.py:111 | ✅ Extraction successful for placeholder_1.jpg (category: screenshots)
2025-11-05 14:23:41,228 |     INFO | main.py:75 | 🔍 Processing: placeholder_2.jpg (category: screenshots)
2025-11-05 14:23:43,603 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:23:43,881 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:23:43,882 |     INFO | main.py:83 | 📄 Extracted Fields for placeholder_2.jpg: {}
2025-11-05 14:23:43,882 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:23:43,883 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:23:43,883 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:23:43,884 |     INFO | main.py:111 | ✅ Extraction successful for placeholder_2.jpg (category: screenshots)
2025-11-05 14:23:43,885 |     INFO | main.py:75 | 🔍 Processing: placeholder_3.jpg (category: screenshots)
2025-11-05 14:23:46,261 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:23:46,546 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:23:46,547 |     INFO | main.py:83 | 📄 Extracted Fields for placeholder_3.jpg: {}
2025-11-05 14:23:46,547 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:23:46,548 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:23:46,548 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:23:46,549 |     INFO | main.py:111 | ✅ Extraction successful for placeholder_3.jpg (category: screenshots)
2025-11-05 14:23:46,549 |     INFO | main.py:75 | 🔍 Processing: sc_01.jpeg (category: screenshots)
2025-11-05 14:23:46,861 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:23:47,162 |  WARNING | text_extraction.py:72 | Tesseract returned no text
